user,location,date,coordinates,content
StewienKevin,Ireland Proud South African,2019-12-17 09:59:00,,"Warned by Kevin Stewien 2004, do not fear death!

South African researcher and developer of the quantum physics dis… https://t.co/aKb1xzwmL0"
UcanewsOrg,,2019-12-17 09:46:55,,"At least six churches in Digos Diocese reported badly damages, death toll expected to rise
#Environment… https://t.co/z1hR8t0dHB"
sonia93122009,Washington DC,2019-12-17 09:44:19,,"Philippines hunts for survivors after earthquake levels building - Al Jazeera English ,https://t.co/ci3cqTjbQJ https://t.co/J2JlcPagXc"
dev_discourse,National Capital Region,2019-12-17 09:22:11,,Toll from #earthquake in southern #Philippines rises to 8 https://t.co/0nwWv4MBSa
MiddleEastTon,Pakistan,2019-12-17 09:13:08,,South Philippines earthquake: Rescuers race to find survivors https://t.co/vtUzCFLhLu
accuweather,"State College, PA",2019-12-17 09:10:00,,Total rainfall of 75-150 mm (3-6 inches) is expected across much of Mindanao through this weekend with an AccuWeath… https://t.co/wzxMDsslCd
robinsnewswire,RT's Are FYI Purposes Only,2019-12-17 08:57:38,,"WorldView: New Zealand volcano investigation, Philippines earthquake, and more https://t.co/hNBxG09IuM #Earthquake"
metebayirr,İstanbul,2019-12-17 08:53:57,,South Philippines earthquake: Rescuers race to find survivors https://t.co/yH2hGt2OAW
gijapon_kaye,,2019-12-17 08:53:07,,"@Jeon_ssi_ Hi! I'm an elf from Philippines, specifically Davao. One of the affected area of the earthquake. Dec 15,… https://t.co/YaEBl736hw"
swimmsolutions,"Winter Garden, FL",2019-12-17 08:51:08,,Swimming pool shakes violently during Philippines earthquake - Yahoo News https://t.co/OYDfasZiI1
swimmsolutions,"Winter Garden, FL",2019-12-17 08:51:08,,Further footage of hotel swimming pool shaking during powerful 6.8-magnitude earthquake in the Philippines - Yahoo… https://t.co/1rtkAwtIWO
ultrascanhumint,,2019-12-17 08:42:32,,South Philippines earthquake: Rescuers race to find survivors: Residents on edge in southern island of Mindanao as… https://t.co/kIAtLUhrC6
TopTwts,Worldwide,2019-12-17 08:26:19,,At least one person was killed after a powerful 6.8-magnitude earthquake struck the southern Philippines island of… https://t.co/eUNIpTCBnq
j_dalencon,"La Reina, Región Metropolitana",2019-12-17 08:26:09,,"NewEarthquake: 5.1 earthquake, 5km SSW of Sulop, Philippines. 2019-12-17 00:21:53 at epicenter (22m ago, depth 10km… https://t.co/yj2reG5Wat"
One_News_Page,"New York, USA",2019-12-17 08:25:43,,South Philippines earthquake: Rescuers race to find survivors: https://t.co/VXrACMZR8d   #Asia
SismosVenezuela,"Caracas, Venezuela",2019-12-17 08:25:16,,"#Sismo 5.1 earthquake, 5km SSW of Sulop, Philippines. 2019-12-17 00:21:53 at epicenter (22m ago, depth 10km).… https://t.co/EKKqHVlWxh"
NationalHaber,,2019-12-17 08:24:29,,South Philippines earthquake: Rescuers race to find survivors National News https://t.co/bsWhlCEcBi https://t.co/cDt5edcpff
420growlife,"Riverside, CA",2019-12-17 08:24:21,,#GeneralElection Philippines earthquake causes swimming pool to shake violently... #wows #trendingnow #Rival via https://t.co/sdKZbURAHc
EugenioRainMan,Italia,2019-12-17 08:08:28,,Searchers Try to Find Earthquake Victims in Philippines https://t.co/PqrS0Cf08b
Waconzy,United States,2019-12-17 08:06:33,,At least one person was killed after a powerful 6.8-magnitude earthquake struck the southern Philippines island of… https://t.co/faiI82Uye2
vaporware,,2019-12-17 08:05:06,,Searchers Try to Find Earthquake Victims in Philippines - The New York Times https://t.co/iRCMCtAPpU
r4resilience,"Seattle, WA",2019-12-17 07:39:30,,Searchers Try to Find Earthquake Victims in Philippines - The New York Times https://t.co/fCRHld37L6 #DRR https://t.co/2hEDOfucCG
arminaph,"Tagaytay, Calabarzon",2019-12-17 07:36:30,,"6.9 magnitude earthquake in Mindanao, 2 massive accidents in Cavite and Rizal. Madaming namatay. Madaming sugatan.… https://t.co/y5GH7fKQz4"
nytimesworld,"New York, London, Hong Kong",2019-12-17 07:22:04,,"A magnitude-6.9 quake violently shook the southern Philippines, killing at least 3 people, officials said. Rescuers… https://t.co/FSsQlGE7AM"
LastQuake,"based in Paris, works globally",2019-12-17 07:18:03,"{'type': 'Point', 'coordinates': [125.21, 6.57]}","Map of felt reports received so far following the #earthquake M4.9 in Mindanao, Philippines 1hr 10min ago https://t.co/vGavREaPFl"
mysimplymary,"Phoenix, AZ USA",2019-12-17 07:16:56,,"Alright....
1111?
Uh oh.
.
.
.
#1111 #121419 #manifestation #numerology #earthquake #philippines #justnoticedthis… https://t.co/C4UtZmNHRl"
