user,location,date,coordinates,content
gridpointwx,"New York, USA",2020-01-08 19:19:39,,USGS sends more equipment to #EARTHQUAKE-rattled Puerto Rico https://t.co/ULEuRxcbIf
PDaytonp2,"Waukee, IA",2020-01-08 19:19:28,,Puerto Rico in state of emergency after most powerful quake in over 100 years https://t.co/oX51ERUuRB
dee4peace,"Spring Hill, FL",2020-01-08 19:19:23,,"Deadly Earthquake Rocks Puerto Rico, Causing Mass Power Outages and “Inf... https://t.co/AnPjNEQBUp via @YouTube"
TimMelino,NY,2020-01-08 19:19:12,,USGS sends more equipment to #EARTHQUAKE-rattled Puerto Rico https://t.co/QmRuIKJsDU #GPWX
PDaytonp2,"Waukee, IA",2020-01-08 19:18:52,,Puerto Rico counts cost of worst earthquake in a century – in pictures https://t.co/QNVg07xFdm
julezbx15,"BRONX,NY",2020-01-08 19:18:42,,Helping Puerto Rico With This Horrible Earthquake https://t.co/bzg1q1B7VA
Faerie_Avril,,2020-01-08 19:18:14,,"Much of Puerto Rico still without power after worst earthquake in a century

https://t.co/pkidInNfcl"
Brought_to_You,,2020-01-08 19:17:29,,"Puerto Rico slow to bring back electricity after powerful earthquake
https://t.co/pdTZ44ldSC"
PaulJ37589258,,2020-01-08 19:17:26,,Trump Declares Emergency for Puerto Rico Following Earthquake https://t.co/4OyBudYfpb via @democracynow
intellecyinc,"San Diego, CA",2020-01-08 19:17:25,,Blessings to all the people of Puerto Rico who are again dealing with destruction brought on by #naturaldisaster .… https://t.co/09VN9cA1Y0
Deef1207,"Cambridgeshire, UK",2020-01-08 19:17:23,,"Power Outage Affects Two-Thirds of Puerto Rico After Earthquake - 

PR needs emergency assistance now!  https://t.co/4xP78T42rt"
TLOTA,Sullivan County,2020-01-08 19:17:22,,"@ERodBuster1 Cochise, heard about the Earthquake in Puerto Rico, are the family members you have there alright?"
fuseboxradio,USA; presently in MD/DC Metro,2020-01-08 19:17:17,,Power Outage Affects Two-Thirds of Puerto Rico After Earthquake l New York Times  https://t.co/CTwLmVaa7d
arsurus_,,2020-01-08 19:17:09,,Centralized grid stability is real issue in areas prone to natural disasters. TBD on sustainability of resi solar b… https://t.co/zWEiof01Wh
NepalQuake_2015,,2020-01-08 19:17:02,,Puerto Rico counts cost of worst earthquake in a century – in pictures https://t.co/hdJ3HIDzCB https://t.co/4C7O45x88I
Safia365,,2020-01-08 19:16:59,,Much of Puerto Rico still without power after worst earthquake in a century | World news | The Guardian https://t.co/6RKdSie0mX
elewis917,"Vermont, USA",2020-01-08 19:16:51,,Just hours after a devastating earthquake life in Puerto Rico moves forward. We are extremely fortunate to be on th… https://t.co/TfLTo61cDk
microsoftnews,,2020-01-08 19:16:22,,"For some residents, Puerto Rico earthquakes' impact worse than Hurricane Maria https://t.co/MR7MQixX9O"
CharlieMMAFAN,California U.S.A.,2020-01-08 19:16:04,,"Puerto Rican resident: I don't think we will recover from this

https://t.co/9NorKajeL9"
brandonelrod,"Atlanta, GA",2020-01-08 19:16:03,,Praying for the people of Puerto Rico as they deal with this weeks 6.4 magnitude earthquake. I'm grateful that… https://t.co/io7sDfdK13
CBSThisMorning,United States,2020-01-08 19:15:52,,UP CLOSE: @DavidBegnaud takes us inside a historic church in Puerto Rico that was severely damaged by yesterday's 6… https://t.co/kobyF5Nu2u
CharlieMMAFAN,California U.S.A.,2020-01-08 19:15:47,,"Puerto Rico earthquakes' impact 'so much worse' than Hurricane Maria, residents say

https://t.co/GuwOSIWZTU"
_gmartina_,"Little Rock, AR",2020-01-08 19:15:45,,a 5.8m earthquake hit Purto Rico 😓
MikeTRose,"40.736402,-73.993365",2020-01-08 19:15:31,,"@superpixels British Royals stepping back
Bernie Sanders heart attack
Beyond veggie pork steak
PUERTO RICO EARTHQUAKE
#wedidntstartthefire"
SafetyPinDaily,,2020-01-08 19:15:04,,"Democrats slam Trump on Puerto Rico, demand swift response to earthquake | Via nbcnews https://t.co/dLhDK2VMNE"
charles_leroy,"Yorkville, NYC",2020-01-08 19:15:00,,"Please Remember #PuertoRicans are #Americans #OneNation #Indivisible
#PrayForPuertoRico #PuertoRicoStrong… https://t.co/iJlxdUOj0S"
JaJazzdog309,,2020-01-08 19:14:50,,Not a peep from @realDonaldTrump following the earthquake in Puerto Rico.
edwinromancom,New York City,2020-01-08 19:14:37,,Power Outage Affects Two-Thirds of #PuertoRico After #Earthquake https://t.co/gk3OJExMj9
Raptured_Night,"North Carolina, USA",2020-01-08 19:14:22,,Puerto Rico reels from earthquake while @realDonaldTrump administration continues to illegally withhold aid… https://t.co/9y22lnoFdq
Beauty4Ashes_1,,2020-01-08 19:13:58,,@RobbyCortes @juancpedreira @RemiMartinPR How creative a bus circulating in search of displaced animals from the af… https://t.co/uX28jUJ0lI
Keith_Event,,2020-01-08 19:13:46,,"I think Event: Earthquake has occurred in Puerto Rico
Wed Jan  8 13:11:05 2020 CDT https://t.co/fVHgIwlXgX"
Miguel_Conesa,"Ponce, PR",2020-01-08 19:13:36,,What Puerto Rico tourists need to know in wake of earthquakes https://t.co/TzMh8tn7nB via @usatoday
wsvn,Miami / Fort Lauderdale,2020-01-08 19:13:12,,Puerto Rico residents spent the night outside as aftershocks rocked the island following a magnitude 6.4 earthquake… https://t.co/hblhNH5BvI
sduffey,,2020-01-08 19:13:06,,I'm curious--has trump or anyone in the WH mentioned or tweeted about the situation in Puerto Rico after the earthq… https://t.co/B4TjXcwzzp
JamesSanna,"Chelsea, MA",2020-01-08 19:12:57,,"""Because of the power disruptions, about 250,000 customers were without running water on Wednesday, according to th… https://t.co/gpzgr65rr1"
mmboyle,United States,2020-01-08 19:12:11,,"Meanwhile

""For some residents, Puerto Rico earthquakes' impact 'so much worse' than Hurricane Maria""

https://t.co/6eNxEJNrrn"
ConPRmetidos,San Juan,2020-01-08 19:12:03,,Yesterday morning a 6.4 magnitude earthquake severely impacted the infrastructure of communities in the South of PR… https://t.co/jdoK1t2By1
DennisJOBrien,,2020-01-08 19:11:50,,"@piersmorgan Yes, Piers. The U.S. is flirting with a war with Iran. A plane crash over Iran killed dozens of people… https://t.co/5NYdKQsZRC"
treblemaker961,,2020-01-08 19:11:49,,Puerto Rico was so much fun... other than the earthquake... that wasn't fun!
cjpmiami,"Miami, Florida",2020-01-08 19:11:39,,Our thoughts are with our brothers and sisters in Puerto Rico impacted by this terrible earthquake. https://t.co/95QpEROluM
robertayque,NY,2020-01-08 19:11:31,,Ouch: https://t.co/O7r5IZW1gp via @NYTimes
GlamaGirl101,VIP Mobile Makeup Service,2020-01-08 19:11:18,,Magnitude 6.4 tremor causes Puerto Rico's worst earthquake damage in decades https://t.co/RdDzKkPdZ3
pmartlor,"San Juan, PR",2020-01-08 19:11:02,,"""…authorities were scrambling to find generators to power the water plants, but were finding that some of the equip… https://t.co/QQ8MYNEPex"
FreeingEnergy,"Atlanta, GA",2020-01-08 19:10:36,,Puerto Rico's grid suffers another major outage as earthquakes hit the southern part of the island. Only portions o… https://t.co/WNzF5KAkq6
techcen70555780,,2020-01-08 19:10:34,,#worldNews Puerto Rico slow to bring back electricity after powerful earthquake https://t.co/EZM8ddwchh https://t.co/kqxePQGVXg
hartfordcourant,"Hartford, Connecticut",2020-01-08 19:09:47,,"More than 250,000 Puerto Ricans remained without water on Wednesday and another half a million without power follow… https://t.co/3pAa8fTay8"
Chickapea60,USA,2020-01-08 19:09:47,,"Trump Approves Puerto Rico Earthquake Emergency Declaration

https://t.co/rmDF05CExY

For the latest US and politic… https://t.co/2YaGVgD4Zp"
MilEntMorgan,"Arizona, Dorset Street",2020-01-08 19:09:27,,"MikeBloomberg: Even as we face serious threats abroad, we also can't neglect the health and safety of our fellow ci… https://t.co/cRb51MOHNo"
truereal1,"Atlanta, GA",2020-01-08 19:09:09,,Meanwhile...in Puerto Rico an epic earthquake. And no visit or word on it from our government. They just forgot we… https://t.co/TYGprY0ad8
QWIKET_FEED,"Boise, ID",2020-01-08 19:09:02,,"The Daily Wire: Puerto Rico In State Of Emergency After 6.4 Magnitude Earthquake Leaves Hundreds Homeless, Millions… https://t.co/Z3sVDbucmj"
AfricanPeacemag,Africa,2020-01-08 19:08:35,,Puerto Rico slow to bring back electricity after powerful earthquake https://t.co/F2T5Ypyvf7 https://t.co/wzpoboLWzC
crewislife,Fact Based World,2020-01-08 19:08:34,,Via @Reuters: Puerto Rico slow to bring back electricity after powerful earthquake https://t.co/4gTmDqsSap https://t.co/PQCBkYW5dz
Koaowner,U.S.A.,2020-01-08 19:08:31,,'No power. No water. Nothing.' Deadly earthquake forces many Puerto Ricans to sleep outside https://t.co/zQRbiNqVO1 via @usatoday
CHCI,"Washington, D.C.",2020-01-08 19:08:22,,A state of emergency has been declared in #PuertoRico. @BeHIPGive has compiled some resources on how we can help. C… https://t.co/b5rYdTJqIf
Newsmongerng,"Lagos, Nigeria",2020-01-08 19:07:34,,Puerto Rico slowly brings back electricity after powerful earthquake https://t.co/xCcFaWCuYD
msnweather,,2020-01-08 19:07:20,,"For some residents, Puerto Rico earthquakes' impact worse than Hurricane Maria https://t.co/XUVEBptgFw"
