created_at,created_at_date,text
2021-03-05 15:52:01+00:00,2021-03-05,@GOP KILLS. #coronavirus #TexasFreeze #CapitolRiots #VoteBlueIn22 we've got to weed out the #DomesticTerrorists… https://t.co/9yD9O9nRLN
2021-03-05 15:48:00+00:00,2021-03-05,RT @joshdr83: The latest round of fallout from the #TexasFreeze coming from when the scarcity pricing should have ended: when the load shed…
2021-03-05 15:35:42+00:00,2021-03-05,TGIF.  The best day for @SenTedCruz to resign.  Texas is too cold for him. #CancunCruz #TedFled #TexasFreeze
2021-03-05 15:31:19+00:00,2021-03-05,@GregAbbott_TX We need a new Governor Texas #BetoForGovernor #AbbottFailedTexas #COVIDIOT #TexasFreeze #vetsfortexas
2021-03-05 15:17:56+00:00,2021-03-05,🤦🏽‍♀️ #AbbottFailedTexasAgain #TexasFreeze #TexasMaskMandate #makeitmakesense https://t.co/3pFKogAoCm https://t.co/ihaz1Jwh7W
2021-03-05 14:37:47+00:00,2021-03-05,Last night I did have a dream that I received a $9000 electricity bill for February use. #TexasFreeze… https://t.co/1cw9elCEBJ
2021-03-05 14:29:24+00:00,2021-03-05,"RT @PierreJ61578761: Photoshoot with @Iyanswer1  the singer! Fun and cold shoot.
#snowphotoshoot #snow #TexasFreeze #texassnow #photography…"
2021-03-05 14:11:44+00:00,2021-03-05,#TedCruzisADisgrace #TexasFreeze https://t.co/pyNRCLFGIt
2021-03-05 13:58:38+00:00,2021-03-05,"In a world that made sense, this would be real part 1 #TexasFreeze #Texas #Trump #CPAC2021 #AbbottFailedTexasAgain… https://t.co/sVRMYvsMdE"
2021-03-05 13:57:26+00:00,2021-03-05,@One_Spy_Girl @GregAbbott_TX Yep. Maximum defection for his long-term neglect and failure to winterize power genera… https://t.co/ZajOnN011M
2021-03-05 13:37:29+00:00,2021-03-05,RT @GQenergy: Another MUST READ and MUST WATCH thread from @JesseJenkins ⤵️ #TexasFreeze #TexasBlackout #TexasWinterStorm2021 #TexasPowerOu…
2021-03-05 13:20:38+00:00,2021-03-05,The latest round of fallout from the #TexasFreeze coming from when the scarcity pricing should have ended: when the… https://t.co/4wkAGOjxvH
2021-03-05 13:17:19+00:00,2021-03-05,"#TexasBlackout ""adding insult to injury"" 
https://t.co/Jrccadntav"
2021-03-05 12:34:05+00:00,2021-03-05,Another MUST READ and MUST WATCH thread from @JesseJenkins ⤵️ #TexasFreeze #TexasBlackout #TexasWinterStorm2021… https://t.co/smz0Ue6Zxl
2021-03-05 12:29:01+00:00,2021-03-05,My mother’s recently gutted house from the #TexasFreeze where pipes burst and flooded the whole downstairs.… https://t.co/YoRFsjZkZQ
2021-03-05 07:07:35+00:00,2021-03-05,"Oh you know...

Look back at it.

@rio_austin @ciroc @visitaustintx 

#legwarmers #texasblizzard2021 @ RIO https://t.co/sWsXquF087"
2021-03-05 06:08:07+00:00,2021-03-05,@MollyJongFast @GovAbbott #racist #BigLie #racism #RacismIsNotAnOpinion #TexasFreeze #TexasBlackout #TexasPowerOutage
2021-03-05 03:40:39+00:00,2021-03-05,@thehill Kind of like the lack of weatherization of natural gas plants didn't make that big of a change during the… https://t.co/yyMFqVczCv
2021-03-05 03:11:42+00:00,2021-03-05,@ROJBOBBY @Arbuziasty1 Już nie 🤣🤣🥶#TexasFreeze
2021-03-05 02:17:00+00:00,2021-03-05,@SPEAKUPJULIA @bethsinniresist And $20k electric 💵 bills. #TexasFreeze
2021-03-05 02:05:45+00:00,2021-03-05,RT @mrssiren: #wonderfulwednesday  Beautiful day here in H-town!! Had to take a break from unpacking &amp; setting up my house to get some Vita…
2021-03-05 01:13:57+00:00,2021-03-05,"Enlightening..!!
https://t.co/2MSynha8RM

#TexasFreeze #TexasWinterStorm2021 #Snowfall"
2021-03-05 01:12:11+00:00,2021-03-05,"I was hoping the #TexasFreeze would have killed off some bugs like Crane flies, but no."
