user,location,date,coordinates,content
LastQuake,"based in Paris, works globally",2021-02-11 09:27:04,"{'type': 'Point', 'coordinates': [26.81, 38.86]}",Map of felt reports received so far following the #earthquake M3.9 Near The Coast of Western Turkey 42 min ago https://t.co/QIQtk3yzNq
SOSGR112,Greece,2021-02-11 09:16:42,,"#σεισμός

Magnitude

  ML 3.9

Region

  NEAR THE COAST OF WESTERN TURKEY

Date time

  2021-02-11 08:45:29.2 UTC

Location

  38.86 N ; 26.81 E

Depth

  5 km

https://t.co/83P022RUqM #earthquake"
EMSC,"Bruyères-Le-Chatel, France",2021-02-11 09:07:54,,#Earthquake (#deprem) M2.0 strikes 18 km E of #Gediz (#Turkey) 58 min ago. More info: https://t.co/RuMShjh7ru
IlkhaAgency,Türkiye,2021-02-11 09:02:19,,"A 4.0 magnitude earthquake hits western Turkey @DepremDairesi #izmirdeprem #deprem #earthquake #Dikili #Persembe
https://t.co/XSb1m9bXk4 https://t.co/ddURlvIhOo"
EMSC,"Bruyères-Le-Chatel, France",2021-02-11 09:00:28,,#Earthquake (#deprem) M2.1 strikes 21 km SE of #Adapazarı (#Turkey) 1hr 13min ago. More info: https://t.co/Sq8cITJ20W
LastQuake,"based in Paris, works globally",2021-02-11 08:59:05,"{'type': 'Point', 'coordinates': [26.81, 38.86]}",M3.9 #earthquake (#deprem) strikes 43 km SW of #Bergama (#Turkey) 14 min ago. Read eyewitnesses' stories &amp; provide yours: https://t.co/vUJidZDNiu
LastQuake,"based in Paris, works globally",2021-02-11 08:57:04,"{'type': 'Point', 'coordinates': [26.81, 38.86]}",M3.9 #earthquake (#deprem) strikes 43 km SW of #Bergama (#Turkey) 12 min ago. Updated map of its effects: https://t.co/c6cmUxMaaG
TumDepremler,Türkiye,2021-02-11 08:54:12,,"#DEPREM #EARTHQUAKE
CANDARLI KORFEZI
https://t.co/pljkRl5E8u
11.02.2021, 11:45:28 TSİ (LocalTime)
Büyüklük (Magnitude): 3.9 ML
Derinlik (Depth): 12.8 KM

#Türkiye #Turkey #Candarli #Korfezi #CandarliKorfezi"
EarthquakeTw,,2021-02-11 08:53:18,,"M4.0 depth:7.0km,2021-02-11T08:45:29.1Z UTC,lat:38.86 lng:26.78,NEAR THE COAST OF WESTERN TURKEY|ID:20210211_0000071 https://t.co/VOTlLK9ay8 #earthquake Earthquakes Today (past 24 hrs,only quakes &gt;= M4.0) https://t.co/SKgaGWiAQn https://t.co/o62euCNBqA"
VolcanoEWS,Mars,2021-02-11 08:53:05,,New Earthquake 6.93 km of Karaada - Turkey - 4.00ml/7km - 11/02/2021 08:53:04 UTC (DDA/Automatic) #eqvyt_2100 (0x)
Boomdotnews,India,2021-02-11 08:52:35,,"#Breaking:

Felt #earthquake (#deprem) M3.8 strikes 46 km SW of #Bergama (#Turkey) 2 min ago. 

https://t.co/I0VDUcrgia"
VolcanoEWS,Mars,2021-02-11 08:49:31,,New Earthquake 5.43 km of Karaada - Turkey - 3.80ml/5km - 11/02/2021 08:49:30 UTC (EMSC/Automatic) #eqvyt_2099 (0x)
LastQuake,"based in Paris, works globally",2021-02-11 08:49:05,"{'type': 'Point', 'coordinates': [26.81, 38.86]}",M3.8 #earthquake (#deprem) strikes 43 km SW of #Bergama (#Turkey) 4 min ago. Effects reported by eyewitnesses: https://t.co/H0Uf1n8Sc0
abshavi,shiraz,2021-02-11 08:49:05,,"ترکیه در بیست دقیفه گذشته دو بار زلزله Earthquake M3.8, NEAR THE COAST OF WESTERN TURKEY, Thu 11 Feb 2021 08:45:29 UTC https://t.co/trbqrow3pB"
LastQuake,"based in Paris, works globally",2021-02-11 08:49:04,"{'type': 'Point', 'coordinates': [26.79, 38.85]}",M3.8 #earthquake (#deprem) strikes 45 km SW of #Bergama (#Turkey) 4 min ago. Read eyewitnesses' stories &amp; share yours: https://t.co/vUJidZDNiu
EQAlerts,,2021-02-11 08:48:10,,"#Earthquake M3.8 NEAR THE COAST OF WESTERN TURKEY 3mins ago 11 Feb 08:45 UTC - report/info: 
https://t.co/QLqOVGlf6l"
LastQuake,"based in Paris, works globally",2021-02-11 08:48:01,"{'type': 'Point', 'coordinates': [26.78, 38.85]}",Felt #earthquake (#deprem) M3.8 strikes 46 km SW of #Bergama (#Turkey) 2 min ago. Please report to: https://t.co/kFLDSKaCnG https://t.co/OZnyIGMryA
VolcanoEWS,Mars,2021-02-11 08:47:37,,New Earthquake 7.76 km of Karaada - Turkey - 3.80ml/14km - 11/02/2021 08:47:37 UTC (ISK/Automatic) #eqvyt_2097 (0x)
EMSC,"Bruyères-Le-Chatel, France",2021-02-11 08:47:30,,#Earthquake (#deprem) M3.8 strikes 46 km SW of #Bergama (#Turkey) 2 min ago. More info: https://t.co/dTsehGDPZm
TumDepremler,Türkiye,2021-02-11 08:45:10,,"#DEPREM #EARTHQUAKE
EGE DENIZI
https://t.co/NRXP8SzacI
11.02.2021, 11:39:48 TSİ (LocalTime)
Büyüklük (Magnitude): 2.5 ML
Derinlik (Depth): 6.1 KM

#Türkiye #Turkey #Ege #Denizi #EgeDenizi"
TumDepremler,Türkiye,2021-02-11 08:42:18,,"#DEPREM #EARTHQUAKE
EGE DENIZI
https://t.co/FO2c4H3q8A
11.02.2021, 11:29:55 TSİ (LocalTime)
Büyüklük (Magnitude): 3.1 ML
Derinlik (Depth): 5.5 KM

#Türkiye #Turkey #Ege #Denizi #EgeDenizi"
