epoch, train_loss_D, train_loss_G,train_Acc, val_Acc, cm00, cm01, cm02, cm10, cm11, cm12, cm20, cm21, cm22
12, 2.856788, 0.030656, 0.388889, 0.311111, 42.000000, 2.000000, 0.000000, 1.000000, 0.000000, 0.000000, 86.000000, 4.000000, 0.000000
13, 2.777423, 0.020823, 0.400000, 0.311111, 42.000000, 2.000000, 0.000000, 1.000000, 0.000000, 0.000000, 86.000000, 4.000000, 0.000000
14, 2.763241, 0.013561, 0.366667, 0.311111, 42.000000, 2.000000, 0.000000, 1.000000, 0.000000, 0.000000, 86.000000, 4.000000, 0.000000
15, 2.866987, 0.026444, 0.433333, 0.311111, 42.000000, 2.000000, 0.000000, 1.000000, 0.000000, 0.000000, 86.000000, 4.000000, 0.000000
16, 2.920070, 0.068922, 0.455556, 0.311111, 42.000000, 2.000000, 0.000000, 1.000000, 0.000000, 0.000000, 86.000000, 4.000000, 0.000000
17, 2.802306, 0.026416, 0.377778, 0.311111, 42.000000, 2.000000, 0.000000, 1.000000, 0.000000, 0.000000, 86.000000, 4.000000, 0.000000
18, 2.776716, 0.018566, 0.422222, 0.311111, 42.000000, 2.000000, 0.000000, 1.000000, 0.000000, 0.000000, 86.000000, 4.000000, 0.000000
19, 2.530529, 0.041637, 0.311111, 0.311111, 42.000000, 2.000000, 0.000000, 1.000000, 0.000000, 0.000000, 86.000000, 4.000000, 0.000000
20, 2.654011, 0.017561, 0.300000, 0.311111, 42.000000, 2.000000, 0.000000, 1.000000, 0.000000, 0.000000, 86.000000, 4.000000, 0.000000
21, 2.683207, 0.022537, 0.433333, 0.311111, 42.000000, 2.000000, 0.000000, 1.000000, 0.000000, 0.000000, 86.000000, 4.000000, 0.000000
22, 2.816643, 0.118014, 0.377778, 0.311111, 42.000000, 2.000000, 0.000000, 1.000000, 0.000000, 0.000000, 86.000000, 4.000000, 0.000000
23, 2.668444, 0.017307, 0.422222, 0.311111, 42.000000, 2.000000, 0.000000, 1.000000, 0.000000, 0.000000, 86.000000, 4.000000, 0.000000
24, 2.649429, 0.009916, 0.422222, 0.311111, 42.000000, 2.000000, 0.000000, 1.000000, 0.000000, 0.000000, 86.000000, 4.000000, 0.000000
25, 2.443000, 0.051862, 0.488889, 0.311111, 42.000000, 2.000000, 0.000000, 1.000000, 0.000000, 0.000000, 86.000000, 4.000000, 0.000000
26, 2.632751, 0.015779, 0.400000, 0.311111, 42.000000, 2.000000, 0.000000, 1.000000, 0.000000, 0.000000, 86.000000, 4.000000, 0.000000
27, 2.695023, 0.034641, 0.400000, 0.311111, 42.000000, 2.000000, 0.000000, 1.000000, 0.000000, 0.000000, 86.000000, 4.000000, 0.000000
28, 2.747200, 0.054957, 0.455556, 0.311111, 42.000000, 2.000000, 0.000000, 1.000000, 0.000000, 0.000000, 86.000000, 4.000000, 0.000000
29, 2.501968, 0.013439, 0.455556, 0.311111, 42.000000, 2.000000, 0.000000, 1.000000, 0.000000, 0.000000, 86.000000, 4.000000, 0.000000
30, 2.338165, 0.031985, 0.377778, 0.311111, 42.000000, 2.000000, 0.000000, 1.000000, 0.000000, 0.000000, 86.000000, 4.000000, 0.000000
31, 2.416830, 0.026559, 0.477778, 0.311111, 42.000000, 2.000000, 0.000000, 1.000000, 0.000000, 0.000000, 85.000000, 5.000000, 0.000000
32, 2.441515, 0.009833, 0.477778, 0.311111, 42.000000, 2.000000, 0.000000, 1.000000, 0.000000, 0.000000, 85.000000, 5.000000, 0.000000
33, 2.653666, 0.116908, 0.500000, 0.311111, 42.000000, 2.000000, 0.000000, 1.000000, 0.000000, 0.000000, 85.000000, 5.000000, 0.000000
34, 2.544489, 0.024291, 0.455556, 0.311111, 42.000000, 2.000000, 0.000000, 1.000000, 0.000000, 0.000000, 85.000000, 5.000000, 0.000000
35, 2.407887, 0.007313, 0.444444, 0.311111, 42.000000, 2.000000, 0.000000, 1.000000, 0.000000, 0.000000, 85.000000, 5.000000, 0.000000
36, 2.329262, 0.029578, 0.500000, 0.311111, 42.000000, 2.000000, 0.000000, 1.000000, 0.000000, 0.000000, 85.000000, 5.000000, 0.000000
37, 2.294256, 0.052000, 0.422222, 0.311111, 42.000000, 2.000000, 0.000000, 1.000000, 0.000000, 0.000000, 84.000000, 6.000000, 0.000000
38, 2.372072, 0.011310, 0.433333, 0.311111, 42.000000, 2.000000, 0.000000, 1.000000, 0.000000, 0.000000, 84.000000, 6.000000, 0.000000
